pair_id,source_a,title_a,source_b,title_b,jaccard,band,same_topic
188,projectclue,the effect of use of science instructional materials on the student s performance in integrated science,researchwap,the effect of use of science instructional materials on the students performance in integrated science,0.875,0.8,1
189,projectclue,an assessment of the effect and causes of deviant behavior among students in some selected secondary school in oredo local government area,researchwap,an assessment of the effect and causes of deviant behavior among students,0.5,0.5,1
190,projectclue,the effectiveness of monetary policies in the nigerian economy,eduprojecttopics,the impact of fiscal and monetary policy on the nigerian economy,0.571,0.5,1
191,projectclue,the impact of family planning campaign on couples,eduprojecttopics,the impact of family planning campaign on ibagwa couples,0.833,0.8,1
192,projectclue,design and implementation of a computerised hospital management system,researchwap,design and implementation of a computerised warehouse management system,0.714,0.7,1
193,projectclue,examine the attitude of parents towards the primary education of their children,researchwap,attitude of parents towards the primary education of their children,0.833,0.8,1
194,projectclue,the effect of taxation as an aid to economic development in enugu state a case study of nkanu west l g a,eduprojecttopics,the effect of taxation as an aid to economic development,0.714,0.7,1
195,projectclue,the perception of secondary school science teachers on the use of information communication and technology ict for communication,researchwap,the perception of teachers on the use of information and communication technology ict in the teaching and learning of computer in senior secondary school,0.615,0.6,1
196,researchwap,the challenges and statistical implication of computer based testing jamb on nigerian students the need to implement computer assisted learning,eduprojecttopics,the challenges and statistical implication of computer based testing jamb on nigerian students the need to implement computer assisted learning cal,0.923,0.9,1
197,projectclue,effect of exchange rate and inflation on nigeria s economic growth,eduprojecttopics,effect of interest rate on economic growth in nigeria,0.556,0.5,1
198,projectclue,causes of disparity between male and female enrolment in business education (case study of enugu state college of education (technical),researchwap,causes of disparity between male and female enrolment in adult education,0.778,0.7,1
199,researchwap,problems of revenue generation in nigeria local government a case study of irepodun local government area of kwara state,eduprojecttopics,the problems of revenue generation in local government area of nigeria,0.857,0.8,1
